,failed_albums
11093,Hanky Panky Tommy James
11094,Hits Again! Gary Lewis And The Playboys
11095,Satisfied With You The Dave Clark Five
11096,Out Of Our Heads The Rolling Stones
11097,Mickie Finn's - America's No.1 Speakeasy Soundtrack
11098,Zorba The Greek Soundtrack
11099,Class Of '66 Floyd Cramer
11100,Daydream The Lovin' Spoonful
11101,Della Reese Live Della Reese
11102,When A Man Loves A Woman Percy Sledge
11103,Up With People! U
11104,Shotgun Jr. Walker & The All Stars
11105,That Was The Year That Was Tom Lehrer
11106,Wayne Newton - Now! Wayne Newton
11107,The Best Of Little Anthony & The Imperials Little Anthony And The Imperials
11108,Dirty Water The Standells
11109,The Best Of Peter And Gordon Peter And Gordon
11110,Nancy In London Nancy Sinatra
11111,The Second Latin Album Trini Lopez
11112,Double Shot (Of My Baby's Love) Swingin' Medallions
11113,The Singing Nun Debbie Reynolds
11114,15 Great Hits The Kingsmen
11115,Live At The Cafe Au Go Go The Blues Project
11116,Dance The Cool Jerk The Capitols
11117,Ballads Of The Green Berets SSgt Barry Sadler
11118,Turn! Turn! Turn! The Byrds
11119,A New Song For Young Love The Lettermen
11120,We Must Be Doing Something Right! The Joe Cuba Sextet
11121,I Want To Go With You Eddy Arnold
11122,Who's Afraid Of Virginia Woolf? Soundtrack
11123,"My Name Is Barbra, Two... Barbra Streisand"
11124,The Fantasticks Original Cast
11125,Gotta Travel On Ray Bryant
11126,Arabesque Henry Mancini
11127,Younger Girl The Critters
11128,Greatest Hits The New Christy Minstrels
11129,Your All-Time Country Favorites John Gary
11130,The Best Of Chad & Jeremy Chad & Jeremy
11131,The Movie Song Album Tony Bennett
11132,Do You Believe In Magic The Lovin' Spoonful
11133,10 Golden Years Brenda Lee
11134,Hold On! Herman's Hermits
11135,Bye Bye Blues Bert Kaempfert And His Orchestra
11136,Annie Get Your Gun Original Cast
11137,In My Quiet Room Harry Belafonte
11138,Moods Of Marvin Gaye Marvin Gaye
11139,You Don't Have To Say You Love Me Dusty Springfield
11140,"Golden Hits Of The Smothers Brothers, Vol. 2 The Smothers Brothers"
11141,Greatest Hits Martha & The Vandellas
11142,"What Did You Do In The War, Daddy? Henry Mancini"
11143,The Kingsmen In Person The Kingsmen
11144,Time Won't Let Me The Outsiders
11145,A Beatles' Songbook (The Brothers Four Sing Lennon/McCartney) The Brothers Four
11146,Got My Mojo Workin' Jimmy Smith
11147,How Does That Grab You? Nancy Sinatra
11148,A Groovy Kind Of Love The Mindbenders
11149,Love Love
11150,Gloria The Shadows Of Knight
11151,Somewhere There's A Someone Dean Martin
11152,You Were On My Mind We Five
11153,More Chad & Jeremy Chad & Jeremy
11154,My Name Is Barbra Barbra Streisand
11155,The Happy Trumpet Al Hirt
11156,Time The Pozo-Seco Singers
11157,Try Too Hard The Dave Clark Five
11158,Everybody Loves A Nut Johnny Cash
11159,"""...And I Know You Wanna Dance"" Johnny Rivers"
11160,Fever! Doc Severinsen
11161,Little Girl Syndicate Of Sound
11162,Sweet Talkin' Guy The Chiffons
11163,Mrs. Miller's Greatest Hits Mrs. Miller
11164,The Wondrous World Of Sonny & Cher Sonny & Cher
11165,Frankie And Johnny Elvis Presley
11166,Hey Joe The Leaves
11167,Soul Sister Aretha Franklin
11168,Mantovani Magic Mantovani
11169,Music: A Bit More Of Me David
11170,The Sonny Side Of Cher Cher
11171,Going To A Go-Go Smokey Robinson & The Miracles
11172,Having A Rave Up With The Yardbirds The Yardbirds
11173,The Best Of Ronnie Dove Ronnie Dove
11174,Hang On Ramsey! Ramsey Lewis
11175,Way Out West Mae West
11176,Trini Trini Lopez
11177,Dave Brubeck's Greatest Hits Dave Brubeck
11178,The In Crowd Ramsey Lewis Trio
11179,Highway 61 Revisited Bob Dylan
11180,It's Over Jimmie Rodgers
11181,"I Love You 1,000 Times The Platters"
11182,Love Theme From The Flight Of The Phoenix The Brass Ring featuring Phil Bodner
11183,Big Spender Peggy Lee
11184,Wildest Organ In Town! Billy Preston
11185,A Time For Singing Original Cast
11186,Day For Decision Johnny Sea
11187,Solid Gold Soul Various Artists
11188,Together Again! Willis Jackson with Jack McDuff
11189,Music - A Part Of Me David
11190,Temptin' Temptations The Temptations
11191,Lightly Latin Perry Como
11192,A Man And His Music Frank Sinatra
11193,My Cherie Al Martino
11194,One Stormy Night The Mystic Moods
11195,Batman Theme Neal Hefti
11196,When You're In Love The Whole World Is Jewish Various Artists
11197,The Best Of The Righteous Brothers The Righteous Brothers
11198,Peter Nero-Up Close Peter Nero
11199,Great Country Hits Billy Vaughn And His Orchestra
11200,Moonlight Sinatra Frank Sinatra
11201,Little Wheel Spin And Spin Buffy Sainte-Marie
11202,Choice John Gary
11203,For Lovers Of All Ages Ferrante & Teicher
11204,Great Moments On Broadway Jerry Vale
11205,"See What Tomorrow Brings Peter, Paul & Mary"
11206,Think I'll Go Somewhere And Cry Myself To Sleep Al Martino
11207,"The ""A"" Team SSgt Barry Sadler"
11208,Take A Little Walk With Me Tom Rush
11209,December's Children (And Everybody's) The Rolling Stones
11210,The Ventures/Batman Theme The Ventures
11211,Tippy Toeing The Harden Trio
11212,The Kink Kontroversy The Kinks
11213,Here I Am Dionne Warwick
11214,I Remember You Robert Goulet
11215,The Silencers Dean Martin
11216,Woman Peter And Gordon
11217,On A Clear Day You Can See Forever Original Cast
11218,This Old Heart Of Mine The Isley Brothers
11219,Phil Ochs In Concert Phil Ochs
11220,Andy Williams' Newest Hits Andy Williams
11221,Ramblin' Rose Nat King Cole
11222,Where The Action Is The Ventures
11223,Houston Dean Martin
11224,The Kate Smith Anniversary Album Kate Smith
11225,Here They Come! Paul Revere & The Raiders
11226,Four Tops Second Album Four Tops
11227,Dionne Warwick In Paris Dionne Warwick
11228,Dear Heart Andy Williams
11229,Greatest Hits The Marvelettes
11230,Chet Atkins Picks On The Beatles Chet Atkins
11231,Otis Blue: Otis Redding Sings Soul Otis Redding
11232,Michelle Bud Shank
11233,She's Just My Style Gary Lewis And The Playboys
11234,Hey! Let's Party Mongo Santamaria
11235,Bye Bye Blues Brenda Lee
11236,Play One More Ian & Sylvia
11237,James Brown Plays New Breed James Brown
11238,Sweet Charity Original Cast
11239,My Love Petula Clark
11240,How Great Thou Art Kate Smith
11241,Everybody Gotta Be Someplace Myron Cohen
11242,The Love You Save Joe Tex
11243,Persuasive Percussion 1966 Enoch Light & The Light Brigade
11244,Arthur Prysock/Count Basie Arthur Prysock
11245,Thunderball Soundtrack
11246,Back To Back The Righteous Brothers
11247,The New Beatles Song Book The Hollyridge Strings
11248,My Fair Lady Original Cast
11249,Look At Us Sonny & Cher
11250,"Original Music From The Man From U.N.C.L.E. Hugo Montenegro, His Orchestra And Chorus"
11251,They're Playing Our Song Al Hirt
11252,A Taste Of Honey Pete Fountain
11253,More Hit Sounds Of The Lettermen! The Lettermen
11254,Filet Of Soul Jan & Dean
11255,Roy Orbison's Greatest Hits Roy Orbison
11256,Unbelievable Billy Stewart
11257,Batman Soundtrack
11258,For Animals Only Baja Marimba Band
11259,The Academy Award Songs Henry Mancini
11260,"Tony's Greatest Hits, Volume III Tony Bennett"
11261,From Broadway With Love Nancy Wilson
11262,Lightnin' Strikes Lou Christie
11263,It's Magic Jerry Vale
11264,Happiness Is Ray Conniff
11265,Where Did Our Love Go The Supremes
11266,Them Them
11267,The Batman Theme The Marketts
11268,The Duke At Tanglewood Duke Ellington
11269,An Evening With Belafonte/Mouskouri Harry Belafonte
11270,I See The Light The Five Americans
11271,I Hear Trumpets Blow The Tokens
11272,Memphis Beat Jerry Lee Lewis
11273,(Remember Me) I'm The One Who Loves You Dean Martin
11274,Soul Session Jr. Walker & The All Stars
11275,The Ventures A Go-Go The Ventures
11276,Look Out For The Cheater Bob Kuban And The In-Men
11277,Sam Cooke At The Copa Sam Cooke
11278,Them Again Them
11279,I Got You (I Feel Good) James Brown
11280,Michelle Billy Vaughn And His Orchestra
11281,Roll Out The Red Carpet For Buck Owens And His Buckaroos Buck Owens
11282,An Evening Wasted With Tom Lehrer Tom Lehrer
11283,Welcome To The LBJ Ranch! Various Artists
11284,Beach Boys' Party! The Beach Boys
11285,Working My Way Back To You The 4 Seasons
11286,The Men In My Little Girl's Life Mike Douglas
11287,Ridin' High The Impressions
11288,You Don't Have To Be Jewish Various Artists
11289,People Barbra Streisand
11290,"Big Sixteen, Vol. 3 Gene Pitney"
11291,Robert Goulet On Broadway Robert Goulet
11292,Comfort Me Carla Thomas
11293,Beatles '65 The Beatles
11294,No Matter What Shape (Your Stomach's In) The T-Bones
11295,You've Lost That Lovin' Feelin' The Righteous Brothers
11296,Sinatra '65 Frank Sinatra
11297,Nat King Cole At The Sands Nat King Cole
11298,More Hits By The Supremes The Supremes
11299,"""In"" Beat Sandy Nelson"
11300,Mom Always Liked You Best! The Smothers Brothers
11301,Champagne On Broadway Lawrence Welk
11302,My Favorite Things The Dave Brubeck Quartet
11303,Moon Over Naples Billy Vaughn And His Orchestra
11304,"Farewell, Angelina Joan Baez"
11305,Don't Be Concerned Bob Lind
11306,Take A Ride............ Mitch Ryder And The Detroit Wheels
11307,Kinks Kinkdom The Kinks
11308,Organ Grinder Swing Jimmy Smith
11309,The New Look Fontella Bass
11310,Our Man Flint Soundtrack
11311,Harum Scarum Elvis Presley
11312,Spanish Grease Willie Bobo
11313,Your All-Time Favorite Songs John Gary
11314,Goldfinger Soundtrack
11315,Go Away From My World Marianne Faithfull
11316,My Kind Of Broadway Frank Sinatra
11317,The Sweetheart Tree Johnny Mathis
11318,The Bobby Fuller Four Bobby Fuller Four
11319,Sunday And Me Jay & The Americans
11320,Hole In The Wall Billy Larkin
11321,Jay & The Americans Greatest Hits! Jay & The Americans
11322,Beatles VI The Beatles
11323,The Baroque Beatles Book Joshua Rifkin
11324,The Duck Jackie Lee
11325,Don Ho-Again! Don Ho
11326,Getz/Gilberto Stan Getz And Joao Gilberto Featuring Antonio Carlos Jobim
11327,"For The ""In"" Crowd Jack Jones"
11328,When The Boys Meet The Girls Connie Francis
11329,"The Toys sing ""A Lover's Concerto"" and ""Attack!"" The Toys"
11330,James Brown Plays James Brown - Today & Yesterday James Brown
11331,I Like It Like That The Dave Clark Five
11332,Hang On Sloopy The McCoys
11333,Five O'Clock World The Vogues
11334,The Screen Scene Peter Nero
11335,One Has My Name Barry Young
11336,The Best Of Jim Reeves Volume II Jim Reeves
11337,"The Rolling Stones, Now! The Rolling Stones"
11338,Everybody Loves A Clown Gary Lewis And The Playboys
11339,"Our Time's Coming Dino, Desi & Billy"
11340,A Taste Of Tequila Mariachi Brass Feat. Chet Baker
11341,The Orbison Way Roy Orbison
11342,Choice! The Best Of The Ramsey Lewis Trio Ramsey Lewis
11343,Papa's Got A Brand New Bag James Brown
11344,Herman's Hermits On Tour Herman's Hermits
11345,Satin Pillows And Careless Bobby Vinton
11346,Fairytale Donovan
11347,Mantovani Ole Mantovani
11348,Flowers On The Wall The Statler Brothers
11349,Lies The Knickerbockers
11350,Mr. Tambourine Man The Byrds
11351,Today's Great Hits Lawrence Welk
11352,It Ain't Me Babe The Turtles
11353,Summer Days (And Summer Nights!!) The Beach Boys
11354,Love Songs - Mexico/S.A. Tony Mottola
11355,More Themes From The James Bond Thrillers Rola
11356,Animal Tracks The Animals
11357,Just Once In My Life... The Righteous Brothers
11358,The Cape Verdean Blues Horace Silver
11359,"I'm A Fool Dino, Desi & Billy"
11360,The Golden Hits Of Lesley Gore Lesley Gore
11361,The Village Caller! Johnny Lytle
11362,The Beach Boys Today! The Beach Boys
11363,Bumpin' Wes Montgomery
11364,The Great Race Henry Mancini
11365,More Genius Of Jankowski Horst Jankowski
11366,My Name Is Allan Allan Sherman
11367,Looking Through The Eyes Of Love Gene Pitney
11368,Horowitz at Carnegie Hall - An Historic Return Vladimir Horowitz
11369,Skyscraper Original Cast
11370,Hear! Here! The Hollies
11371,All I Really Want To Do Cher
11372,Silk 'N' Brass Jackie Gleason
11373,Bringing It All Back Home Bob Dylan
11374,Try To Remember The Brothers Four
11375,The Kingsmen On Campus The Kingsmen
11376,Joan Baez/5 Joan Baez
11377,Keep On Dancing The Gentrys
11378,Big Hits By Burt Bacharach...Hal David...Bob Dylan... The 4 Seasons
11379,The Paul Butterfield Blues Band The Paul Butterfield Blues Band
11380,Boss Beat Sandy Nelson
11381,The Sing-Along World Of Trini Lopez Trini Lopez
11382,"James Blonde, Secret Agent 006.95, ""The Man From T.A.N.T.E."" Various Artists"
11383,Elvis For Everyone! Elvis Presley
11384,1-2-3 Len Barry
11385,"16 Original Big Hits, Volume 4 Various Artists"
11386,Run Baby Run The Newbeats
11387,Eve Of Destruction Barry McGuire
11388,More Knockers Up! Rusty Warren
11389,Gentle Is My Love Nancy Wilson
11390,"Nero Goes ""Pops"" Peter Nero"
11391,Summer Wind Roger Williams
11392,The Nearness Of You John Gary
11393,There Goes My Heart Jerry Vale
11394,The Shadow Of Your Smile Astrud Gilberto
11395,Baby Don't Go Sonny & Cher
11396,Blue Midnight Bert Kaempfert And His Orchestra
11397,The Magic Music Of Far Away Places Bert Kaempfert And His Orchestra
11398,Another Side Of Bob Dylan Bob Dylan
11399,Harlem Nocturne The Viscounts
11400,Autumn Leaves-1965 Roger Williams
11401,The Sandpiper Soundtrack
11402,The Hit Sounds Of The Lettermen The Lettermen
11403,John Fitzgerald Kennedy...As We Remember Him (narrated by Chartles Kuralt) John Fitzgerald Kennedy
11404,The Ferrante And Teicher Concert Ferrante & Teicher
11405,A Session With Gary Lewis And The Playboys Gary Lewis And The Playboys
11406,Motortown Review In Paris Various Artists
11407,Folk 'N Roll Jan & Dean
11408,The Great Waltz Original Cast
11409,Treat Me Right Roy Head
11410,Gene Chandler - Live On Stage In '65 Gene Chandler
11411,You'll Never Walk Alone The Lettermen
11412,It's Gonna Be Fine Glenn Yarbrough
11413,Johnny Rivers Rocks The Folk Johnny Rivers
11414,The New Boss Joe Tex
11415,Class Of '65 Floyd Cramer
11416,I Don't Want To Lose You Baby Chad & Jeremy
11417,Orbisongs Roy Orbison
11418,The Silence (Il Silenzio) Roy Etzel
11419,Where Does Love Go Charles Boyer
11420,The Ventures On Stage The Ventures
11421,Since I Fell For You Lenny Welch
11422,The 3rd Time Around Roger Miller
11423,Having A Wild Weekend The Dave Clark Five
11424,Broadway Bouquet Percy Faith
11425,Marianne Faithfull Marianne Faithfull
11426,Love Affair Ray Conniff
11427,What's New Pussycat? Soundtrack
11428,"A Song Will Rise Peter, Paul & Mary"
11429,Too Many Rivers Brenda Lee
11430,"My Town, My Guy & Me Lesley Gore"
11431,The Return Of Roger Miller Roger Miller
11432,There Is Only One Roy Orbison Roy Orbison
11433,Judy Collins' Fifth Album Judy Collins
11434,Summer Sounds Robert Goulet
11435,Catch The Wind Donovan
11436,The Genius Of Jankowski! Horst Jankowski
11437,The Steve Lawrence Show Steve Lawrence
11438,Live At Carnegie Hall Al Hirt
11439,The World's Greatest International Hits! Petula Clark
11440,Unforgettable Wirh Love Nat King Cole
11441,There's Love & There's Love & There's Love Jack Jones
11442,The Wonderful World Of Antonio Carlos Jobim Antonio Carlos Jobim
11443,Try A Little Love Sam Cooke
11444,Boots Randolph Plays More Yakety Sax! Boots Randolph
11445,The Wandering Minstrels The New Christy Minstrels
11446,Standing Ovation At Newport Herbie Mann
11447,The Pink Panther Henry Mancini
11448,Drums A Go-Go Sandy Nelson
11449,Looking Back Nat King Cole
11450,Don't Just Stand There Patty Duke
11451,La Bamba Mongo Santamaria
11452,Only The Best Ferrante & Teicher
11453,Three O'Clock In The Morning Bert Kaempfert And His Orchestra
11454,In The Midnight Hour Wilson Pickett
11455,"Hold Me, Thrill Me, Kiss Me Mel Carter"
11456,Cast Your Fate To The Wind Sounds Orchestral
11457,Skitch...Tonight! Skitch Henderson
11458,Summer Wind Wayne Newton
11459,Now Hear This Moms Mabley
11460,The Roar Of The Greasepaint-The Smell Of The Crowd Original Cast
11461,The Arthur Sound Wil
11462,Pastel Blues Nina Simone
11463,Chim Chim Cher-ee The New Christy Minstrels
11464,The Best Of Al Hirt Al Hirt
11465,Introducing Herman's Hermits Herman's Hermits
11466,The Ipcress File Soundtrack
11467,I Want Candy The Strangeloves
11468,"Yes, I'm Ready Barbara Mason"
11469,Baby The Rain Must Fall Glenn Yarbrough
11470,"Hush, Hush, Sweet Charlotte Patti Page"
11471,The Rhythm & Blues Album Trini Lopez
11472,Girl Happy Elvis Presley
11473,One By One The Impressions
11474,Magnificent Movie Themes Enoch Light & The Light Brigade
11475,The Sound Of Music Original Cast
11476,12 x 5 The Rolling Stones
11477,More Amor Eydie Gorme
11478,Live At The Apollo James Brown
11479,True Love Ways Peter And Gordon
11480,"Hello, Dolly! Original Cast"
11481,"Jan & Dean Golden Hits, Volume 2 Jan & Dean"
11482,"Baby, I'm Yours Barbara Lewis"
11483,"Peter, Paul And Mary Peter, Paul & Mary"
11484,Four Tops Four Tops
11485,One Kiss For Old Times' Sake Ronnie Dove
11486,Down In The Boondocks Billy Joe Royal
11487,Meanwhile Back At The Whisky A Go Go Johnny Rivers
11488,Play Guitar With The Ventures The Ventures
11489,This Is New! The Righteous Brothers
11490,A World Of Our Own The Seekers
11491,Getz Au Go Go The New Stan Getz Quartet Featuring Astrud Gilberto
11492,The Searchers No. 4 The Searchers
11493,The King Family Show! King Family
11494,Kinda Kinks The Kinks
11495,Before And After Chad & Jeremy
11496,Today-My Way Nancy Wilson
11497,L-O-V-E Nat King Cole
11498,Country & Western Meets Rhythm & Blues Ray Charles
11499,Angel Eyes The Dave Brubeck Quartet
11500,Downtown Petula Clark
11501,The Love Album Trini Lopez
11502,The Latin Sound Of Henry Mancini Henry Mancini
11503,What's New Pussycat? Tom Jones
11504,If I Ruled The World - Songs For The Jet Set Tony Bennett
11505,Monster Jimmy Smith
11506,Kinks-Size The Kinks
11507,The Mantovani Sound - Big Hits From Broadway And Hollywood Mantovani
11508,Early Morning Rain Ian & Sylvia
11509,Shenandoah Soundtrack
11510,The King Family Album King Family
11511,"Music From Mary Poppins, The Sound Of Music, My Fair Lady, & Other Great Mo Ray Conniff"
11512,Marie The Bachelors
11513,The Yellow Rolls-Royce Soundtrack
11514,For Your Love The Yardbirds
11515,Wooly Bully Sam The Sham and the Pharaohs
11516,Gerry & The Pacemakers Greatest Hits Gerry And The Pacemakers
11517,Major's Greatest Hits Major Lance
11518,Beat & Soul The Everly Brothers
11519,Soul Sauce Cal Tjader
11520,Blockbusters Jay & The Americans
11521,You Turn Me On! Ian Whitcomb
11522,How To Be A Jewish Mother Gertrude Berg
11523,Greatest Hits From The Beginning The Miracles
11524,The New Seekers The Seekers
11525,My Kind Of Town Jack Jones
11526,Sammy's Back On Broadway Sammy Davis Jr.
11527,The Temptations Sing Smokey The Temptations
11528,Eddie Fisher Today! Eddie Fisher
11529,Introducing The Beau Brummels The Beau Brummels
11530,Songs For Latin Lovers Ray Charles Singers
11531,Begin To Love Robert Goulet
11532,The Scene Changes Perry Como
11533,Moon River & Other Great Movie Themes Andy Williams
11534,I Know A Place Petula Clark
11535,An Evening With Belafonte/Makeba Harry Belafonte
11536,Hawaiian Wedding Song Andy Williams
11537,The Great Ones! Jimmy Roselli
11538,This Diamond Ring Gary Lewis And The Playboys
11539,Red Roses For A Blue Lady Wayne Newton
11540,You Were Only Fooling Vic Damone
11541,The Third Album Barbra Streisand
11542,We Remember Sam Cooke The Supremes
11543,Honey In The Horn Al Hirt
11544,I Must Be Seeing Things Gene Pitney
11545,Your Cheatin' Heart Hank Williams Jr.
11546,"The Best Of Sam Cooke, Volume 2 Sam Cooke"
11547,Half A Sixpence Original Cast
11548,That Honey Horn Sound Al Hirt
11549,The Astrud Gilberto Album Astrud Gilberto
11550,Music To Read James Bond By Soundtrack
11551,I Do Love You Billy Stewart
11552,Do The Freddie Freddie And The Dreamers
11553,Somebody Else Is Taking My Place Al Martino
11554,We're Gonna Make It Little Milton
11555,Life & Love Italian Style Jimmy Roselli
11556,Weekend In London The Dave Clark Five
11557,A Little Bit Of Heaven John Gary
11558,"Songs From ""Cat Ballou"" And Other Motion Pictures Nat King Cole"
11559,Red Roses For A Blue Lady Vic Dana
11560,Yeah!!! Aretha Franklin
11561,I've Got A Tiger By The Tail Buck Owens
11562,A Double Header With Arthur Prysock Arthur Prysock
11563,Dean Martin Hits Again Dean Martin
11564,I Go To Pieces Peter And Gordon
11565,Drum Discotheque Sandy Nelson
11566,The Incomparable Mantovani Mantovani
11567,Freddie & The Dreamers Freddie And The Dreamers
11568,"Flora, The Red Menace Original Cast"
11569,"Peter, Paul And Mary In Concert Peter, Paul & Mary"
11570,The Nancy Wilson Show! Nancy Wilson
11571,nan Roots Of Country Music (1965)
11572,Stay Awhile The Kingston Trio
11573,Father & Son Hank Williams
11574,The Original Peanuts Sunny & The Sunliners
11575,I Put A Spell On You Nina Simone
11576,Themes From The James Bond Thrillers Rola
11577,Song For My Father (Cantiga Para Meu Pai) Horace Silver
11578,The Very Best Of Solomon Burke Solomon Burke
11579,From Russia With Love Soundtrack
11580,Portrait Of My Love The Lettermen
11581,Soul Serenade Gloria Lynne
11582,Connie Francis Sings For Mama Connie Francis
11583,Mr. Stick Man Pete Fountain
11584,Aesop's Fables The Smothers Brothers Way The Smothers Brothers
11585,Canadian Sunset Andy Williams
11586,Have You Looked Into Your Heart Jerry Vale
11587,Bobby Vinton Sings For Lonely Nights Bobby Vinton
11588,Venice Blue Bobby Darin
11589,Queen Of The House Jody Miller
11590,Concrete And Clay Eddie Rambeau
11591,Mexican Pearls Billy Vaughn And His Orchestra
11592,The Ventures Knock Me Out! The Ventures
11593,Them Cotton Pickin' Days Is Over Godfrey Cambridge
11594,Do I Hear A Waltz? Original Cast
11595,Everybody Loves Somebody Dean Martin
11596,Pearly Shells Billy Vaughn And His Orchestra
11597,Sugar Lips Al Hirt
11598,Dear Heart And Other Songs About Love Henry Mancini
11599,20 Original Winners Of 1964 Various Artists
11600,Shake Sam Cooke
11601,English Hits Of '65 Billy Strange
11602,"The Academy Award Winning ""Call Me Irresponsible"" Andy Williams"
11603,Roger And Out Roger Miller
11604,Ferry Cross The Mersey Gerry And The Pacemakers
11605,The Greatest Story Ever Told Soundtrack
11606,People Get Ready The Impressions
11607,I'm Telling You Now Freddie And The Dreamers
11608,My Love Forgive Me Robert Goulet
11609,Apples & Bananas Lawrence Welk
11610,Serenade For Elisabeth The Gunter Kallmann Chorus
11611,Sandie Shaw Sandie Shaw
11612,The Folk Album Trini Lopez
11613,The 4 Seasons Entertain You The 4 Seasons
11614,All Summer Long The Beach Boys
11615,By Popular Demand Ferrante & Teicher
11616,The Return Of Rock Jerry Lee Lewis
11617,Blues For Mister Jimmy Jimmy McGriff
11618,The Race Is On George Jones
11619,Soupy Sales Sez Do The Mouse And Other Teen Hits Soupy Sales
11620,The Game Of Love The Mindbenders
11621,Chad & Jeremy Sing For You Chad & Jeremy
11622,"Softly, As I Leave You Frank Sinatra"
11623,Come Share My Life Glenn Yarbrough
11624,Dear Heart Jack Jones
11625,Trini Lopez At PJ's Trini Lopez
11626,The Impressions Greatest Hits The Impressions
11627,The Most Exciting Organ Ever Billy Preston
11628,Music Of A People Stanley Black
11629,"The Kingsmen, Volume 3 The Kingsmen"
11630,The Zombies The Zombies
11631,Yesterday's Gone Chad & Jeremy
11632,Connie Smith Connie Smith
11633,Licorice Stick Pete Fountain
11634,Ray Charles Live In Concert Ray Charles
11635,My First Of 1965 Lawrence Welk
11636,Shirley Bassey Belts The Best! Shirley Bassey
11637,My Funny Valentine Miles Davis
11638,Bobby Vinton's Greatest Hits Bobby Vinton
11639,The Seekers The Seekers
11640,Command Performance/Live In Person Jan & Dean
11641,Grits & Soul James Brown
11642,Orange Blossom Special Johnny Cash
11643,Dance Party Martha & The Vandellas
11644,Ten Little Bottles Johnny Bond
11645,Career Girls Peter Nero
11646,Pass Me By Peggy Lee
11647,Spy With A Pie Soupy Sales
11648,I Don't Want To Be Hurt Anymore Nat King Cole
11649,Days Of Wine And Roses Andy Williams
11650,Love Is The Thing Nat King Cole
11651,My Fair Lady Nat King Cole
11652,You Really Got Me The Kinks
11653,"The Kingsmen, Volume II The Kingsmen"
11654,The Door Is Still Open To My Heart Dean Martin
11655,Trade Winds Earl Grant
11656,Standing Ovation! Jerry Vale
11657,The Jim Reeves Way Jim Reeves
11658,Love Is Everything Johnny Mathis
11659,The Best Of Jim Reeves Jim Reeves
11660,Some Blue-Eyed Soul The Righteous Brothers
11661,El Pussy Cat Mongo Santamaria
11662,Baker Street (A Musical Adventure Of Sherlock Holmes) Original Cast
11663,Land Of 1000 Dances Cannibal And The Headhunters
11664,The Honey Wind Blows The Brothers Four
11665,Springtime Ferrante & Teicher
11666,Johnny Rivers In Action! Johnny Rivers
11667,Cotton Candy Al Hirt
11668,Right Now! The Righteous Brothers
11669,Coast To Coast The Dave Clark Five
11670,I Left My Heart In San Francisco Tony Bennett
11671,The Windmills Are Weakening Bob Newhart
11672,Mary Wells Mary Wells
11673,Roustabout Soundtrack
11674,Goin' Out Of My Head Little Anthony And The Imperials
11675,Something New The Beatles
11676,Those Lazy-Hazy-Crazy Days Of Summer Nat King Cole
11677,Dear Lonely Hearts Nat King Cole
11678,Typical American Boys The Chad Mitchell Trio
11679,Roger Williams Plays The Hits Roger Williams
11680,Yeh Yeh Georgie Fame
11681,We Could Al Martino
11682,The Animals On Tour The Animals
11683,"The Great Songs From ""My Fair Lady"" And Other Broadway Hits Andy Williams"
11684,The Supremes Sing Country Western & Pop The Supremes
11685,The Beatles' Second Album The Beatles
11686,Baja Marimba Band Rides Again Baja Marimba Band
11687,The Nat King Cole Song Book The Hollyridge Strings
11688,The Sensitive Sound Of Dionne Warwick Dionne Warwick
11689,The New Searchers LP The Searchers
11690,"In The Wind Peter, Paul & Mary"
11691,Tour De Farce American History And Other Unrelated Subjects The Smothers Brothers
11692,Friendly Persuasion Ray Conniff
11693,The Sidewinder Lee Morgan
11694,How Sweet It Is To Be Loved By You Marvin Gaye
11695,Who Can I Turn To Tony Bennett
11696,Johnny Rivers At The Whisky A Go Go Johnny Rivers
11697,Cowboys And Indians The New Christy Minstrels
11698,Lord Jim Soundtrack
11699,"""Pops"" Goes The Trumpet Boston Pops Orchestra"
11700,No Arms Can Ever Hold You The Bachelors
11701,The Cat Jimmy Smith
11702,The Great Otis Redding Sings Soul Ballads Otis Redding
11703,Funny Girl Barbra Streisand
11704,Leader Of The Pack The Shangri-Las
11705,Songs For Lonesome Lovers Ray Charles Singers
11706,Bizet: Carmen Maria Callas
11707,A Bit Of Liverpool The Supremes
11708,Live At The Cocoanut Grove Sergio Franchi
11709,This Is Damita Jo Damita Jo
11710,Our Shining Hour Count Basie
11711,Mr. Lonely Bobby Vinton
11712,The Kingston Trio (Nick-Bob-John) The Kingston Trio
11713,I'll Be There! Gerry And The Pacemakers
11714,The People's Choice Ferrante & Teicher
11715,George Jones & Gene Pitney George Jones & Gene Pitney
11716,The Beatles' Story The Beatles
11717,Golden Boy Original Cast
11718,Invisible Tears Ray Conniff
11719,How Glad I Am Nancy Wilson
11720,The Best Of Mancini Henry Mancini
11721,Welcome To The Ponderosa Lorne Greene
11722,Don't Forget I Still Love You Bobbi Martin
11723,Paper Tiger Sue Thompson
11724,Teen Beat '65 Sandy Nelson
11725,The Greatest Live Show On Earth Jerry Lee Lewis
11726,Keep On Pushing The Impressions
11727,She Cried The Lettermen
11728,Dream With Dean Dean Martin
11729,Walk Away Matt Monro
11730,Anyone For Mozart? Swingle Singers
11731,The Five Faces Of Manfred Mann Manfred Mann
11732,For Swingin' Livers Only! Allan Sherman
11733,"Walk, Don't Run, Vol. 2 The Ventures"
11734,Live At Basin St. East Trini Lopez
11735,Bach's Greatest Hits Swingle Singers
11736,Here We A Go Go Again! Johnny Rivers
